a52dec 0.7.4-9
aalib 1.4rc5-12
accounts-qml-module 0.7-1
accountsservice 0.6.43-1
acl 2.2.52-3
adobe-source-code-pro-fonts 2.030ro+1.050it-1
adobe-source-han-sans-jp-fonts 1.004-1
adobe-source-sans-pro-fonts 2.020ro+1.075it-1
adobe-source-serif-pro-fonts 1.017-1
adwaita-icon-theme 3.22.0-1
alsa-lib 1.1.2-1
alsa-plugins 1.1.1-1
alsa-utils 1.1.2-1
amarok 2.8.0-9
android-studio-canary 2.3.0.0-1
ansible 2.2.0.0-1
apr 1.5.2-1
apr-util 1.5.4-2
archlinux-keyring 20161201-1
ark 16.08.3-1
aspell 0.60.6.1-5
at-spi2-atk 2.22.0-1
at-spi2-core 2.22.0-1
atk 2.22+1+gd57f97d-1
atkmm 2.24.2+1+gf30b47f-1
attica-qt4 0.4.2-3
attica-qt5 5.28.0-1
attr 2.4.47-2
autoconf 2.69-4
automake 1.15-2
avahi 0.6.32-2
babl 0.1.18-1
baloo 5.28.0-1
baloo-widgets 16.08.3-1
bash 4.4.005-1
bash-completion 2.4-1
bc 1.06.95-3
bind-tools 9.11.0.P1-2
binutils 2.27-1
bluedevil 1:5.8.4-1
bluez 5.43-2
bluez-qt 5.28.0-1
boost-libs 1.62.0-4
bower 1.8.0-1
breeze 5.8.4-1
breeze-grub 5.8.4-1
breeze-gtk 5.8.4-1
breeze-icons 5.28.0-1
btrfs-progs 4.8.2-1
bzip2 1.0.6-5
c-ares 1.12.0-1
ca-certificates 20160507-1
ca-certificates-cacert 20140824-4
ca-certificates-mozilla 3.27.1-1
ca-certificates-utils 20160507-1
cabal-install 1.24.0.0-3
cairo 1.14.6-2
cairomm 1.12.0-2
calibre 2.73.0-2
cantarell-fonts 1:0.0.25-2
cdparanoia 10.2-5
cdrdao 1.2.3-9
cdrkit 1.1.11-3
chmlib 0.40-4
chromium 54.0.2840.100-1
cifs-utils 6.5-1
cln 1.3.4-3
colord 1.3.4-1
compositeproto 0.4.2-3
confuse 3.0-1
conky 1.10.5-1
convertlit 1.8-7
coreutils 8.25-2
cower 16-1
cracklib 2.9.6-1
cronie 1.5.1-1
cryptsetup 1.7.3-1
ctags 5.8-5
curl 7.51.0-1
damageproto 1.2.1-3
darkhttpd 1.12-1
db 5.3.28-3
dbus 1.10.12-1
dbus-glib 0.108-1
dcadec 0.2.0-1
dconf 0.26.0-2
desktop-file-utils 0.23-1
device-mapper 2.02.167-2
dhcpcd 6.11.3-1
dialog 1:1.3_20160828-1
diffutils 3.5-1
ding-libs 0.6.0-1
djvulibre 3.5.27-3
dmenu 4.6-1
dmxproto 2.3.1-3
dnsmasq 2.76-3
dnssec-anchors 20150403-1
docbook-xml 4.5-6
docbook-xsl 1.79.1-2
dolphin 16.08.3-1
dolphinpart4 16.08.3-1
dos2unix 7.3.4-1
dosfstools 4.0-3
dotconf 1.3-4
dri2proto 2.8-2
dri3proto 1.0-1
drkonqi 5.8.4-1
dstat 0.7.3-2
dvd+rw-tools 7.1-7
e2fsprogs 1.43.3-1
ebook-tools 0.2.2-3
elfutils 0.167-1
elinks 0.13-17
elm-platform 0.17.1-2
enca 1.19-1
enchant 1.6.0-10
erlang 19.1.6-1
ethtool 1:4.8-1
exiv2 0.25-3
expac 8-1
expat 2.2.0-2
faac 1.28-5
faad2 2.7-4
fakeroot 1.21-2
fcitx 4.2.9.1-2
fcitx-gtk2 4.2.9.1-2
fcitx-gtk3 4.2.9.1-2
fcitx-mozc 2.18.2612.102-1
fcitx-qt4 4.2.9.1-2
fcitx-qt5 1.0.6-1
feh 2.18-1
ffmpeg 1:3.2.1-1
ffmpeg0.10 0.10.16-2
ffmpeg2.8 2.8.8-1
fftw 3.3.5-1
file 5.29-1
filesystem 2015.09-1
findutils 4.6.0-2
firefox 50.0.2-1
fixesproto 5.0-3
flac 1.3.1-3
fontconfig 2.12.1-3
fontsproto 2.1.3-1
frameworkintegration 5.28.0-1
freeglut 3.0.0-1
freetype2 2.7-2
fribidi 0.19.7-1
fuse 2.9.7-1
gamin 0.1.10-8
gawk 4.1.4-2
gc 7.6.0-1
gcc 6.2.1-1
gcc-libs 6.2.1-1
gconf 3.2.6-5
gdb 7.12-3
gdb-common 7.12-3
gdbm 1.12-2
gdk-pixbuf2 2.36.0+2+ga7c869a-1
gegl02 0.2.0-4
geoclue2 2.4.4-2
geoip 1.6.9-1
geoip-database 20161004-1
gettext 0.19.8.1-2
ghc 8.0.1-1
ghostscript 9.20-4
giflib 5.1.4-1
gimp 2.8.18-1
git 2.10.2-1
glew 2.0.0-1
glib-networking 2.50.0-1
glib2 2.50.2-1
glibc 2.24-2
glibmm 2.50.0-1
glproto 1.4.17-1
glu 9.0.0-4
gmp 6.1.1-1
gnome-themes-standard 3.22.2-1
gnu-netcat 0.7.1-6
gnupg 2.1.16-1
gnutls 3.4.16-1
google-chrome 55.0.2883.75-1
google-cloud-sdk 135.0.0-1
gparted 0.27.0-1
gpgme 1.7.1-2
gpgmepp 16.08.3-1
gpm 1.20.7-7
graphite 1:1.3.9-1
grep 2.26-1
groff 1.22.3-7
grub 1:2.02.beta3-4
grunt-cli 1.2.0-3
gsettings-desktop-schemas 3.22.0+1+g6f52ab5-1
gsfonts 20160531-3
gsm 1.0.14-1
gssproxy 0.5.1-2
gst-plugins-base 1.10.2-1
gst-plugins-base-libs 1.10.2-1
gstreamer 1.10.2-1
gstreamer0.10 0.10.36-4
gstreamer0.10-base 0.10.36-3
gstreamer0.10-ffmpeg 0.10.13-2
gstreamer0.10-good 0.10.31-11
gstreamer0.10-good-plugins 0.10.31-11
gstreamer0.10-ugly 0.10.19-16
gstreamer0.10-ugly-plugins 0.10.19-16
gtk-update-icon-cache 3.22.4-1
gtk2 2.24.31-1
gtk3 3.22.4-1
gtkmm 2.24.4-2
gtkmm3 3.22.0-1
guile 2.0.13-2
gvim 8.0.0086-1
gwenview 16.08.3-1
gzip 1.8-2
harfbuzz 1.3.3-2
harfbuzz-icu 1.3.3-2
hdf5 1.10.0_patch1-1
hdparm 9.50-1
hicolor-icon-theme 0.15-1
hspell 1.3-1
htop 2.0.2-1
http-parser 2.7.1-1
hunspell 1.5.4-1
hwids 20161103-1
hyphen 2.8.8-1
i3-wm 4.13-1
i3lock 2.8-1
i3status 2.10-2
iana-etc 20161101-1
icu 58.1-2
idnkit 1.0-3
ijs 0.35-1
ilmbase 2.2.0-2
imlib2 1.4.9-1
inetutils 1.9.4-5
inputproto 2.3.2-1
iotop 0.6-4
iproute2 4.8.0-1
iptables 1.6.0-1
iputils 20161105.1f2bb12-1
iso-codes 3.70-1
jack 0.125.0-3
jansson 2.9-1
jasper 1.900.5-1
java-environment-common 2-2
java-runtime-common 2-2
jbig2dec 0.13-1
jdk 8u92-1
jdk8-openjdk 8.u112-1
jemalloc 4.3.1-1
jfsutils 1.1.15-4
jre8-openjdk 8.u112-1
jre8-openjdk-headless 8.u112-1
js17 17.0.0-4
js185 1.0.0-3
json-c 0.12.1-1
json-glib 1.2.2+4+gd725fb5-1
k3b 1:2.0.3a-7
kaccounts-integration 16.08.3-1
kactivities 5.28.0-1
kactivities-stats 5.28.0-1
kactivitymanagerd 5.8.4-1
karchive 5.28.0-1
kauth 5.28.0-1
kbd 2.0.3-1
kbookmarks 5.28.0-1
kbproto 1.0.7-1
kcalc 16.08.3-1
kcm-fcitx 0.5.3-1
kcmutils 5.28.0-1
kcodecs 5.28.0-1
kcompletion 5.28.0-1
kconfig 5.28.0-1
kconfigwidgets 5.28.0-1
kcoreaddons 5.28.0-1
kcrash 5.28.0-1
kdbusaddons 5.28.0-1
kde-cli-tools 5.8.4-1
kde-gtk-config 5.8.4-1
kde-l10n-ja 16.08.3-1
kde-l10n-pt_br 16.08.3-1
kdebase-kdepasswd 16.08.3-1
kdebase-keditbookmarks 16.08.3-1
kdebase-konqueror 16.08.3-1
kdebase-lib 16.08.3-1
kdebase-runtime 16.08.3-4
kdeclarative 5.28.0-1
kdeconnect 1.0.2-1
kdecoration 5.8.4-1
kded 5.28.0-1
kdegraphics-okular 16.08.3-2
kdelibs 4.14.26-1
kdelibs4support 5.28.0-1
kdemultimedia-kmix 16.08.3-1
kdenetwork-filesharing 16.08.3-1
kdepimlibs4 4.14.10-11
kdeplasma-addons 5.8.4-1
kdesu 5.28.0-1
kdeutils-kgpg 16.08.3-1
kdf 16.08.3-1
kdiff3 0.9.98-6
kdnssd 5.28.0-1
kemoticons 5.28.0-1
keyutils 1.5.9-1
kfilemetadata 5.28.0-1
kgamma5 5.8.4-1
kglobalaccel 5.28.0-1
kguiaddons 5.28.0-1
kholidays 16.08.3-1
khotkeys 5.8.4-1
khtml 5.28.0-1
ki18n 5.28.0-1
kiconthemes 5.28.0-1
kidletime 5.28.0-1
kimtoy 1.91-2
kinfocenter 5.8.4-1
kinit 5.28.0-1
kio 5.28.0-1
kio-extras 16.08.3-1
kirigami 1.1.0-1
kitemmodels 5.28.0-1
kitemviews 5.28.0-1
kiten 16.08.3-1
kjobwidgets 5.28.0-1
kjs 5.28.0-1
kjsembed 5.28.0-1
kmenuedit 5.8.4-1
kmod 23-1
knewstuff 5.28.0-1
knotifications 5.28.0-1
knotifyconfig 5.28.0-1
konsole 16.08.3-1
kpackage 5.28.0-2
kparts 5.28.0-1
kpeople 5.28.0-1
kpty 5.28.0-1
krb5 1.13.4-1
kross 5.28.0-1
krunner 5.28.0-1
kscreen 5.8.4-1
kscreenlocker 5.8.4-1
kservice 5.28.0-1
ksshaskpass 5.8.4-1
ksysguard 5.8.4-1
ktexteditor 5.28.0-1
ktextwidgets 5.28.0-1
ktorrent 5.0.1-2
kuiserver 5.8.4-1
kunitconversion 5.28.0-1
kwallet 5.28.0-1
kwallet-pam 5.8.4-1
kwayland 5.28.0-1
kwayland-integration 5.8.4-1
kwidgetsaddons 5.28.0-1
kwin 5.8.4-1
kwindowsystem 5.28.0-1
kwrite 16.08.3-1
kwrited 5.8.4-1
kxmlgui 5.28.0-1
kxmlrpcclient 5.28.0-1
lame 3.99.5-3
lcms 1.19-5
lcms2 2.8-1
ldb 1.1.27-1
ldns 1.6.17-4
less 487-1
lftp 4.7.4-1
lib32-acl 2.2.52-2
lib32-alsa-lib 1.1.2-1
lib32-alsa-plugins 1.1.1-1
lib32-attr 2.4.47-1
lib32-bzip2 1.0.6-2
lib32-expat 2.2.0-1
lib32-gcc-libs 6.2.1-1
lib32-glibc 2.24-2
lib32-libcap 2.25-1
lib32-libdrm 2.4.74-1
lib32-libelf 0.167-1
lib32-libffi 3.2.1-1
lib32-libgcrypt 1.7.3-1
lib32-libgpg-error 1.24-1
lib32-libidn 1.33-1
lib32-libpciaccess 0.13.4-1
lib32-libtxc_dxtn 1.0.1-5
lib32-libx11 1.6.4-1
lib32-libxau 1.0.8-1
lib32-libxcb 1.12-2
lib32-libxdamage 1.1.4-2
lib32-libxdmcp 1.1.2-1
lib32-libxext 1.3.3-1
lib32-libxfixes 5.0.3-1
lib32-libxml2 2.9.3-1
lib32-libxshmfence 1.2-1
lib32-libxss 1.2.2-2
lib32-libxxf86vm 1.1.4-1
lib32-llvm-libs 3.9.0-1
lib32-mesa 13.0.2-1
lib32-mesa-libgl 13.0.2-1
lib32-ncurses 6.0-2
lib32-readline 7.0-1
lib32-systemd 231-1
lib32-wayland 1.12.0-1
lib32-xz 5.2.2-1
lib32-zlib 1.2.8-1
libaccounts-glib 1.23-1
libaccounts-qt 1.15-1
libaio 0.3.110-1
libakonadi-qt4 1.13.0-11
libao 1.2.0-1
libarchive 3.2.1-2
libass 0.13.4-1
libassuan 2.4.3-1
